Edition	Country	MedalCount
1896	CHN	0
1900	CHN	0
1904	CHN	0
1908	CHN	0
1912	CHN	0
1920	CHN	0
1924	CHN	0
1928	CHN	0
1932	CHN	0
1936	CHN	0
1948	CHN	0
1952	CHN	0
1956	CHN	0
1960	CHN	0
1964	CHN	0
1968	CHN	0
1972	CHN	0
1976	CHN	0
1980	CHN	0
1984	CHN	76
1988	CHN	53
1992	CHN	83
1996	CHN	110
2000	CHN	79
2004	CHN	94
2008	CHN	184
1896	GBR	7
1900	GBR	78
1904	GBR	2
1908	GBR	347
1912	GBR	160
1920	GBR	107
1924	GBR	66
1928	GBR	55
1932	GBR	34
1936	GBR	36
1948	GBR	56
1952	GBR	31
1956	GBR	45
1960	GBR	28
1964	GBR	28
1968	GBR	18
1972	GBR	29
1976	GBR	32
1980	GBR	45
1984	GBR	72
1988	GBR	53
1992	GBR	50
1996	GBR	26
2000	GBR	55
2004	GBR	57
2008	GBR	77
1896	GER	33
1900	GER	40
1904	GER	13
1908	GER	22
1912	GER	52
1920	GER	0
1924	GER	0
1928	GER	72
1932	GER	38
1936	GER	210
1948	GER	0
1952	GER	40
1956	GER	0
1960	GER	0
1964	GER	0
1968	GER	0
1972	GER	0
1976	GER	0
1980	GER	0
1984	GER	0
1988	GER	0
1992	GER	198
1996	GER	124
2000	GER	119
2004	GER	149
2008	GER	101
1896	JPN	0
1900	JPN	0
1904	JPN	0
1908	JPN	0
1912	JPN	0
1920	JPN	3
1924	JPN	1
1928	JPN	8
1932	JPN	31
1936	JPN	21
1948	JPN	0
1952	JPN	12
1956	JPN	24
1960	JPN	29
1964	JPN	64
1968	JPN	67
1972	JPN	56
1976	JPN	41
1980	JPN	0
1984	JPN	49
1988	JPN	20
1992	JPN	47
1996	JPN	43
2000	JPN	43
2004	JPN	94
2008	JPN	51
1896	RUS	0
1900	RUS	0
1904	RUS	0
1908	RUS	0
1912	RUS	0
1920	RUS	0
1924	RUS	0
1928	RUS	0
1932	RUS	0
1936	RUS	0
1948	RUS	0
1952	RUS	0
1956	RUS	0
1960	RUS	0
1964	RUS	0
1968	RUS	0
1972	RUS	0
1976	RUS	0
1980	RUS	0
1984	RUS	0
1988	RUS	0
1992	RUS	0
1996	RUS	115
2000	RUS	188
2004	RUS	192
2008	RUS	143
1896	USA	20
1900	USA	55
1904	USA	394
1908	USA	63
1912	USA	101
1920	USA	193
1924	USA	198
1928	USA	84
1932	USA	181
1936	USA	92
1948	USA	148
1952	USA	130
1956	USA	118
1960	USA	112
1964	USA	150
1968	USA	149
1972	USA	155
1976	USA	155
1980	USA	0
1984	USA	333
1988	USA	193
1992	USA	224
1996	USA	260
2000	USA	248
2004	USA	264
2008	USA	315
