Edition	Country	MedalCount
1896	GBR	7
1900	GBR	78
1904	GBR	2
1908	GBR	347
1912	GBR	160
1920	GBR	107
1924	GBR	66
1928	GBR	55
1932	GBR	34
1936	GBR	36
1948	GBR	56
1952	GBR	31
1956	GBR	45
1960	GBR	28
1964	GBR	28
1968	GBR	18
1972	GBR	29
1976	GBR	32
1980	GBR	45
1984	GBR	72
1988	GBR	53
1992	GBR	50
1996	GBR	26
2000	GBR	55
2004	GBR	57
2008	GBR	77
1896	GER	33
1900	GER	40
1904	GER	13
1908	GER	22
1912	GER	52
1920	GER	0
1924	GER	0
1928	GER	72
1932	GER	38
1936	GER	210
1948	GER	0
1952	GER	40
1956	GER	0
1960	GER	0
1964	GER	0
1968	GER	0
1972	GER	0
1976	GER	0
1980	GER	0
1984	GER	0
1988	GER	0
1992	GER	198
1996	GER	124
2000	GER	119
2004	GER	149
2008	GER	101
1896	ITA	0
1900	ITA	4
1904	ITA	0
1908	ITA	7
1912	ITA	21
1920	ITA	84
1924	ITA	51
1928	ITA	70
1932	ITA	77
1936	ITA	71
1948	ITA	63
1952	ITA	53
1956	ITA	46
1960	ITA	88
1964	ITA	50
1968	ITA	32
1972	ITA	25
1976	ITA	31
1980	ITA	37
1984	ITA	63
1988	ITA	29
1992	ITA	46
1996	ITA	71
2000	ITA	65
2004	ITA	102
2008	ITA	42
1896	JPN	0
1900	JPN	0
1904	JPN	0
1908	JPN	0
1912	JPN	0
1920	JPN	3
1924	JPN	1
1928	JPN	8
1932	JPN	31
1936	JPN	21
1948	JPN	0
1952	JPN	12
1956	JPN	24
1960	JPN	29
1964	JPN	64
1968	JPN	67
1972	JPN	56
1976	JPN	41
1980	JPN	0
1984	JPN	49
1988	JPN	20
1992	JPN	47
1996	JPN	43
2000	JPN	43
2004	JPN	94
2008	JPN	51
1896	URS	0
1900	URS	0
1904	URS	0
1908	URS	0
1912	URS	0
1920	URS	0
1924	URS	0
1928	URS	0
1932	URS	0
1936	URS	0
1948	URS	0
1952	URS	117
1956	URS	169
1960	URS	169
1964	URS	174
1968	URS	188
1972	URS	211
1976	URS	285
1980	URS	442
1984	URS	0
1988	URS	294
1992	URS	0
1996	URS	0
2000	URS	0
2004	URS	0
2008	URS	0
1896	USA	20
1900	USA	55
1904	USA	394
1908	USA	63
1912	USA	101
1920	USA	193
1924	USA	198
1928	USA	84
1932	USA	181
1936	USA	92
1948	USA	148
1952	USA	130
1956	USA	118
1960	USA	112
1964	USA	150
1968	USA	149
1972	USA	155
1976	USA	155
1980	USA	0
1984	USA	333
1988	USA	193
1992	USA	224
1996	USA	260
2000	USA	248
2004	USA	264
2008	USA	315
